Назва,Включити в генерацію,Фото товару,Перед,Зад,Перед низ,Зад низ,Доступні кольори,Всі кольори товару,Розміри,Постачальник,Базова ціна,Моя ціна,Артикул базовий,Бренд,Базовий опис,Категорія,Гендер,Роль в луці,Сезон,Матеріал,Стиль,Силует,Layer,Warmth,Insulation,Length,Neckline/Collar,Waist Rise,Texture/Sheen,Pattern,Луки 2,Луки 3,Луки 4,Луки,Дата додавання
"В'язаний кардиган на блискавці з кишенями - чорний цвет, ONE SIZE",checked,"3180-9_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/lRjY2_UuIig8qoYqZoQcJg/uthT-jFo4690G7j4r6M7A89GSUyRbw81oLRRVYYj2NgrFNi_zA_fekqdcJ8-92BnQKFXNoe_KRix-w0rdzlUpL2srtp5TFXHkcTM9vpBNMp1fwIS1M1gAXYK2m35FWb1UmEZzCbLJOhCAuhROgKprw/HloHBlhGuBT_XtqSnCsb4sfgbSPQIfNI4Tkumuf5tNg),3180-9_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/zfZ0BN2zag76Tp9vq3q6mg/Hgad-2z3QeL7TAMuL7FPOxKmWZ_PWzTA8dQ9T9M_OcCPa36X4a_n9K3TyZ-yKWSt7PdUmCuVYAXbX-BaRvG0pN-j7sf8wecclCcffLJltOSbEV10wdKlhebN1w0n2fNsMhYLkU-BgMqfFvfIrQnSkQ/VOL-5p3LsJOgw6gcbc7Df-i92-pnlVKCtgCV6zWgSvU)",,,,,Чорний,"Чорний,Сірий",ONE SIZE,https://lurex.in.ua/uk/3180-vjazanuj-kardugan-na-molnuu-s-karmanamu,₴1195,,3180,LUREX,"В’язаний кардиган на блискавці — практична та стильна річ, що поєднує комфорт і сучасний силует. Модель виконана з м’якої трикотажної пряжі та має високий комір, який надійно захищає від прохолоди.
Матеріал: В'язка.
Склад: 60% поліестер, 40% бавовна.
Країна: Китай.",Светри,Жінка,Верх,Зима,Трикотаж,Streetwear,Relaxed,Outer,Warm,None,Cropped,Zip,,Soft-pile,Solid,,,,,6.1.2026
"Коротка сорочка у комплекті з майкою в рубчик - сірий цвет, ONE SIZE",checked,"81260-10_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/ELDJ_eUurIAtsc-JB7xhOQ/BfwFY7QexqhGuUVARWjmdQ3jtN82I-nXRfZ90ZXc4KWr8US7lnSejN7gAGhmXCZd_Mg7hn_FIF7aTyVGyD5xYdNHTI3Pm0L8fVX8tGlWdVr7Wb5wm5hwQAlLLA2D3y7B9gyYUbtlFFJY_Obr9Hxjuw/aCtiwhQEpkzMhQNkON1S9q2ZmSlq7h-4a49seJLOir0),81260-10_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/e8GuobKLX7-FvnHEV-1JvQ/MjtYWi0uSmZ4hW7r2yhMUs7_9870YwxhN-wrbf0ncM82q90hUpttF2AQGjBMFK5SGWgNuFS_fEOYa8epV6CThJF4zA3Yk1RbF3ay9rEZmMVTDczcBclWzQUOqQbIZOHz3nt-Zt6Cbw0MfzbqI_jeLQ/mJiUAAOkEhieN-CRU8Rn-cSs9a9zimwwjovE0aX_ecc)",,,,,"Сірий,Мокко,Білий","Сірий,Мокко,Білий",ONE SIZE,https://lurex.in.ua/uk/81260-korotkaja-rybashka-v-komplekte-s-majkoj-v-rybchuk,₴950,,81260,LUREX,"Коротка сорочка у комплекті з майкою в рубчик — стильне та продумане рішення для багатошарових образів. Сорочка має класичний відкладний комір і застібається на ґудзики, зберігаючи лаконічний вигляд.
Матеріал: Бавовна.
Склад: 100% бавовна.
Країна: Китай.",Сорочки,Жінка,Верх,Демісезон,Бавовна,Streetwear,Relaxed,Mid,Light,None,Cropped,Collar,,Matte,Solid,,,,,6.1.2026
"Вельветова класична сорочка - рожевий цвет, ONE SIZE",checked,"9679-14_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/YbkwgjSmnTHa75qulOW0QQ/C6ZnZpmRfpILqqOCzev_h3Y7oaeNebCTcT1qYgsQxQTL_afaKynYjDaYIqGzgb9qdlTeOxPvyaCBARp_arVHMGoCDpw2mRe26E8J2glU1ApoXYiaTF15ITvRrVrKwEzWYlKnJGC7JU43Q4YTXkPKPQ/mUA1cRVp2jhrzXybsG686if2Le0182p_Xp2X4l3m5cs),9679-14_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/NF-PQ0eBX38GY_zvFxiuNA/EO8x5iWuY2AnOrOu6GLrOABNrGY2Y5ThU0qLXtlNYuS4fvfaeNQQAWACpw74fmGJAVPrOKYmGsuIz5sR5SkW7XM6_ZeYxDcMTiJbx4JoesxKLW0d6fVB6NPnpXDGbFPs3J0lQKPfmZsNtZffk_1Xmw/3l8kws4finS4yQJ4hzHgCnyutgOMWgl_WXmGODpoXH4)",,,,,"Рожевий,Молочний","Рожевий,Молочний",ONE SIZE,https://lurex.in.ua/uk/9679-velvetovaja-klassucheskaja-rybashka,₴1010,,9679,LUREX,"Вельветова класична сорочка — стильна та універсальна модель, яка поєднує в собі комфорт і актуальну текстуру. Вельвет надає виробу виразного вигляду та робить сорочку ідеальним варіантом для прохолодної пори року.
Матеріал: Вельвет.
Склад: 80% бавовна, 20% поліестер.
Країна: Китай.",Сорочки,Жінка,Верх,Демісезон,Вельвет,Formal,Oversized,Mid,Medium,None,Long,Collar,,Structured,Solid,,,,,6.1.2026
"Котонова сорочка з вишитим написом - блакитний цвет, ONE SIZE",checked,"6051-12_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/o7R0eQNK5FN1o5cCQmA7Ow/tqRhUNj1b3odD50R17XiQxOXEJNFQethgSPVCLiiYxdd0TlEac-F5CjHfG2Vsv0GipdwveY7G5OUXK7465gELdL7LGXEcGz2hWRgoCF5A4aiZa4rxEvP6qPT2BQ38jqv0AjTaR9ChFSpsq-AbLCvng/AxRjPNU0ItpE8dV1yJn8vqnxefU4DksHvZbjunWu030),6051-12_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/W0iHQrXNP-IVkvyaK0CcKA/soWjsGjuKd4uymFoDDXnnX-IuEXXaISFAaC74Np2i86lL1oAHaWYQKR6JDlmnK8iShZUM01wroEw8xrw6U8PinkP2f2iYjtCIAUbVNVnshh0T2nokX790i8GvbxzgamI1hCs8ffHqrsBwaTWKvteJA/sV0BF3Xl9Gc0Hg7GUD116vv4B0cnxitFDS8qKytjug4)",,,,,"Молочний,Пудровий","Блакитний,Пудровий,Жовтий,Молочний",ONE SIZE,https://lurex.in.ua/uk/6051-kotonovaja-rybashka-s-vushutoj-nadpusyu,₴995,,6051,LUREX,"Котонова сорочка з вишитим написом — стильна базова модель у сучасному оверсайзному виконанні. Виріб має вільний крій з опущеними проймами, що створює невимушений силует і забезпечує комфорт у носінні.
Матеріал: Вельвет.
Склад: 100% котон.
Країна: Китай.",Сорочки,Жінка,Верх,Демісезон,Вельвет,Formal,Oversized,Mid,Light,None,Long,Collar,,Matte,Solid,,,,,6.1.2026
"Класична сорочка в дрібну клітинку - червоний цвет, ONE SIZE",checked,"19052-21_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/T8N8RrvxTbGn0LiI338pxA/uC7oTFu_3Dfc6GDOgrb_DwsIfpx8e1VLiNqNByvvvyJpLO9q1fQ5Xph1Tg4_38krgXUo7DpVk7vUdcUtbbnnoFd7mJFoMnQN5N7m8TC2Bfo2WJDHl0miYQX0qKm8vvFf6JRwEaWGsKDwUyKunx7PdQ/PHcV36jTl7aMML2mp_3kgDVvFSyxngwI4uJhaYE3RGA),19052-21_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/7uh26xR-KFN8xsrNN_kVaQ/OCPE7_oTEFp6vEEqSyL0lBXOKmrMQ58LfwzEQkc-0ewlN_wMATtdfrK2VYV0gb6Ajx_AruXvdTVMK8CecfDqAjFalaW_-6xhOHflWRuad6IfJ09dsu2jCNruiZVFTwvovLaqRfvEENL4QJONs3vfEA/9tggr0z1mNpa63A1PyfbQOrGandqHq4DsLnVtkPFJrA)",,,,,"Червоний,Коричневий,Блакитний","Червоний,Коричневий,Блакитний",ONE SIZE,https://lurex.in.ua/uk/19052-klassucheskaja-rybashka-v-melkyyu-kletochky,₴815,,19052,LUREX,"Класична сорочка в дрібну клітинку — універсальна та стильна модель, яка легко вписується в базовий гардероб. Акуратний клітинний принт додає образу охайності й стриманої елегантності, а відкладний комірець підкреслює класичний характер виробу.
Матеріал: Бавовна.
Склад: 100% бавовна.
Країна: Китай.",Сорочки,Жінка,Верх,Демісезон,Бавовна,Casual,Relaxed,Mid,Light,None,Cropped,Collar,,Matte,Check,,,,,6.1.2026
"Класична однотонна сорочка з драпіруванням - рожевий цвет, ONE SIZE",checked,"6952-14_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/cFKoA8_vG2wCMgGxSbe2Pw/hIG8SIYmF2lucC55q3_2SmG9W_axVPnsHmg7mq65sKv8gV0iyRC1-LsJ5CeD8t6s_1VZF4AAS_ujqMlgdNmoAyd92eVEGMA2r9fU1M3egOPBeqayVJ-b3ommBomJoShF5LXr2JHNN1ucVfC4WOpeaw/JFtHuN57gtOvDiGbCeUbrGZd3M_5GtNCQmLS8QGtVW8),6952-14_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/vZ5tbEP854r_SS-sKY2Msg/FfGUbs_SgQIZ2mFthxy9T74ldhdNa3wQMSqHGceR6QsEjeKAclkvavmQzr7H_8JP-MtZXx2E_x-9jq5fkQO5EfcBDMwV7bQs4wO7aQkHXz-pryJO-uYPfwp8y-pTKDfer0skYkw3XixxeRnXAN5dxQ/GJx21O8Dc7xtl_bUB2IJU9GBI1RNORERJb7CAZDOB8Q)",Instagram речі.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/wWQFshubqL1CQ_3nQyJlNA/1Olb1vc7eTFNCq__R7FEHmX39y_z4sj6Q0m0k6b1esYxX99rvOZNhgfwuFggSD40hbvaCYntKjHwzpQ-XyuR2KiJqZ6oqPg-WDZK57aAJBq0GmfxoG21TINV0XHJ-VvyK2GrQk_smD_wN3RWUCqeTAGW01tE-_mP-7NOBnB9zDs/-3YHRaZOX5iAjGcHeaw8StupwlEOUmzIs5msr3YFb8Q),Instagram речі-2.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/F06s04OJOP_Efneg1u6wpA/4ZB56CoaL54pDWJNYkqlUQVYZpazhx8IAAwZOpZAY-W8cMCot82xC5sIWAzkEYlXF0qP3cjzZR1cvCUFb5bYddmuI6JDxGZOdZe5PjbFd2kU7sROx8jnNlby_dHXgQHaduRbM2jh_-ymzRmO94GEbd5MVjBHMEXAZ5HdfP8jqK8/4e-Nkxl97GgbovJJVyjRtX5Y4D2GkZCoMpV4hTbp9tg),Instagram речі-1.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/UtcUKl-rxAiufG7gGHGDMg/Mw0rFi54VaABt-wkof3WY5Raq1Rb-BSo7Bneb-TN6GIQe0okrcCzkRbBRF9iojEB1rilDx8gU4j1HACz9RoTfGG5cQfLqMFkK5sP1s112BE5d61BQ5PQJ_9G9Ne9kR-4XxfBEYuPi0qBWI141my_KhZpQnO9QYN-MPJp___mvL4/7eniyPnJyGmIQAWVs_a3ogJ3BngKnmjQXB5HoISA2BY),Instagram речі-3.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/Blxk9kB0Gi1ftm5E3pu6bA/6cwYINmZg1VTy9_ep0AQVqs1UrGSsEzzx9Q11pr4yQZRmUGb6lvz-YOStDMJy9BD8pHW_wE6Lvp2DUJUwNaIjugo1iFauRIS6AqMYEKwuYvmgV_0qujoHkn72Kn7c7K_LRuFUuK5NgEbHYnFhQS2jOZVhPfaB4KNCCWHOCtYK8w/ZbXkOJyN70jERxs7HCPiwR9sTcGAC3uA_1kxdkn9r6I),"Рожевий,Молочний,Чорний,Блакитний","Рожевий,Молочний,Чорний,Блакитний",ONE SIZE,https://lurex.in.ua/uk/6952-klassucheskaja-odnotonnaja-rybashka-s-drapurovkoj,₴1105,,6952,LUREX,"Класична однотонна сорочка з драпіруванням — елегантна та жіночна модель, що підкреслює силует і виглядає витончено в будь-якому образі. Сорочка має силуетний крій, акуратно повторює лінії фігури та створює охайний, доглянутий вигляд.
Матеріал: Бавовна.
Склад: 100% бавовна.
Країна: Китай.",Сорочки,Жінка,Верх,Демісезон,Бавовна,Formal,Fitted,Mid,Light,None,Regular,Collar,,Matte,Solid,Молочно-сірий мінімалізм,,,Молочно-сірий мінімалізм,6.1.2026
"Коротка трикотажна майка-топ з об'ємною квіткою - білий цвет, L",,"123690-1_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/1xOxaMgbFw2pbbGOixGtsQ/nMi5AonZkMVC3lZvJ1DiwcFYm1ZXVOSYV7CxPc4ZYa8TFm-sdhu0BQm7c-xUUYTlLDflNYdxHQ23i_LyPyQtZ8UOKcOvBm9JedgtTE42t-wy2z6_5E2wSokhw_q7iOIb8ysUp5ggeIpVnThSq84zqA/8X01YvcClpIa4pB2DXOAvi0pbG8if9iGBiDc8mP-xH0),123690-1_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/ZuFUb_eUTD6zZtHLgwcrNg/RTVGBEC36WXpHLiVaNmRrIMmlADV2TcjfTaJId6I8L1vJjkmsKW32aGUX6pZPwbp9DPhBOr-sN6IF2YM2I3PcIxUcVCn7r-HJW256F5sf01hRGipvsty8_dp5bWr9SopFCpamzpX9wOJAR6ov3lb4Q/o3nAbSms_HBJf34bmjexo3FQD-BtKEC9xF61CI0XVcc)",,,,,"Білий,Чорний","Білий,Чорний","L,M",https://lurex.in.ua/uk/123690-trukotazhna-majka-top-z-obemnoyu-kvitkoyu,₴225,,123690,LUREX,"Ця майка прямого крою з трикотажного матеріалу - чудове поєднання комфорту та стилю. На передній частині зліва розташована об'ємна квітка, яка надає виробу вишуканості та унікальності. Краї пройм та низу майки не оброблені.
Матеріал: Трикотаж.
Склад: 100% бавовна.
Країна: Туреччина.",Топ,Жінка,Верх,Літо,Трикотаж,Romantic,Fitted,Base,Light,None,Cropped,Crew,,Matte,Floral,,,,,12.1.2026
"Жіноча базова майка в рубчик із ґудзиками - молочний цвет, ONE SIZE",,"15082-47_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/0EoXgVO1l12Z6Dkf4wAvug/uAXquQwVyILjKqT5jvZX7vYHdpnFQxy6a6tec4jj0b9RxXWafNZnilGTXUKE5zqsNpcuRI0G8KULUuPoQ8XDYZXjwVQ491zCt691n4X53ccf8oC1eYYMG604-_PydR53ebe8G976ZYIeaYxBzcIfvw/gu_XegExvPtcjk6wBEV3mGHHQ7hODJXXPnAIpTcZabg),15082-47_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/vmn7pZp9cLw4qQt5ky5Thg/9wFCyutnSN6bwQdTi9ucVDkJEpXGHbwKtOQSduA0MHTkxaC2sxfw2jhaEwjDawe0o_7__0obDNbqyH7Huj7h9yHJTLXpH4o3juI6BGXrC02YEDZyt9T9oWEJkGM0-sf5EeXWtVVgMD_DJBHGkNKZpA/mE8sVA-OeWYdwaE_2TLM8SGHEc2T0Y0_X3aAGfwq_Zo)",,,,,"Молочний,Чорний","Молочний,Чорний",ONE SIZE,https://lurex.in.ua/uk/15082-zhenskaja-majka-v-rybchuk-s-pygovucamu,₴256,,15082,LUREX,"Жіноча базова майка в рубчик із ґудзиками — це стильна та комфортна модель, яка ідеально підходить для створення повсякденних образів. Вона має короткий крій, що чудово підкреслює фігуру, та двошаровий ефект, який додає глибини дизайну. Приємна до тіла тканина забезпечує комфорт у носінні, а три ґудзики спереду на грудях слугують стильним акцентом. Модель оснащена вбудованими поролоновими чашечками, які забезпечують легку підтримку та дозволяють носити майку без бюстгальтера. Завдяки еластичному матеріалу майка гарно прилягає до тіла, поєднуючись як із джинсами та шортами, так і зі спідницями чи спортивними штанами, створюючи універсальні та модні аутфіти..
Матеріал: Трикотаж.
Склад: 80% бавовна, 20% еластан.
Країна: Китай.",Майка,Жінка,Верх,Демісезон,Трикотаж,Minimalist,Fitted,Base,Light,None,Cropped,V-neck,,Matte,Solid,,,,,12.1.2026
"Жіночий кроп-топ у рубчик - помаранчевий цвет, M",,"249-34_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/mZ24-ocrErfjjCgcY1oRLw/dOjDbxsrs-E2WJxFNxXPMASKJv0emzDl28DckrEun2SPU7EuWjyq9xwAOYPCs2PjM9LDtcEFF5O_4BWGQDNJ7w_t6WHrLoXWZzIX6EuQ9GvgEwwu7R2_q1OjCzjpMP1BVwy78o20jPrQ-8uI4K3bfg/3hbeWByQ4U3U9JlttVlvh4by2l7dPi6jfevBRUOQDeA),249-34_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/_xt38UaMTTskpZNxYR-kIQ/WWquimLUQ8QxW0V6X6axpec5Ow-FBeE5dBYjCGjbb92FzhxcmINyirndqACe7SQ9rG6HN5aATdhRfwNmgJ8G7cERktJlH0E7wZjj8-wYlA1HXT-CjJ2KsRcIePk9xM-ZFxdNdI0m-QDQJSfwmRfepg/v6IC3pnoSgkJ3KR6zmNPADq2Gq7ZrlQjm_J6DApHQqU)",,,,,Оранжевий,Оранжевий,"M,S",https://lurex.in.ua/uk/249-zhenskuj-krop-top-v-rybchuk,₴119,,249,LUREX,"Трендова довжина та базові кольори роблять цей кроп-топ універсальною основою для оригінальних модних образів. З ним ти зможеш поєднувати вироби різних стилів та фасонів. Ця укорочена жіноча майка в рубчик йде з прямим низом.
Матеріал: Трикотаж.
Склад: 93% поліестер, 7% еластан.
Країна: Туреччина.",Топ,Жінка,Верх,Літо,Трикотаж,Streetwear,Fitted,Base,Light,None,Cropped,V-neck,,Matte,Solid,,,,,12.1.2026
"Джинсові вільні шорти - блакитний цвет, 34р",,"00032-12_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/yiRWCj1JuZL3fvUHbq41FA/4YUrFXZj5WDtEEa5S1kZ_8D_4Ov7GDCq2FISBk6cEkAN8erzK36tfr8VP_Wk2IxrA3RNDojduZmbD8RaJQJq7IP51O_TDJF1Qruwmh-BFD55BenHsreipWSgA9KY6E916Rkm_CCA7Jc7_jkdZYnWOQ/QKwxWUMQw_9GM2zAJbodK4hh4qBKloZ2mtFHXk2Htsc),00032-12_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/DzVR1_uA2hrOZHX9aTHFjQ/ULE4dErdw_ddwmcI_5-2_Hr8c1SZPgwjTReqiz3J_PBbqosG-M8eK-jVv_zP3jFu8lJmewsaFo5fcs_90H3jMPWsG7uRthMTYj0AypMOjKkTkVc4VJIJolaYE-u5r_wMmQ5eQuJv8kXd0Jyo4y7oJg/jLntyHwXpICwVixoQLR4WJh8AYA2sTLnAaG6pzcWuwg)",,,,,Блакитний,Блакитний,"34,36",https://lurex.in.ua/uk/00032-dzhunsovue-svobodnue-shortu,₴1200,,00032,LUREX,"Джинсові вільні шорти — це зручна й універсальна модель для повсякденного гардероба. Вони мають вільний крій і подовжену довжину, що забезпечує комфорт і свободу рухів. Модель застібається на блискавку та ґудзик, має втачний пояс з петлями для ременя, що дозволяє доповнювати образ аксесуарами.
Матеріал: Джинс.
Склад: 100% котон.
Країна: Туреччина.",Шорти,Жінка,Низ,Літо,Джинс,Streetwear,Relaxed,Base,Light,None,Regular,,High,Structured,Solid,,,,,12.1.2026
"Жіночі штани з вертикальними смужками - білий цвет, L",checked,"14310-1_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/9SYBdhrNU_1-kz33xWNjXA/fAqC_SFCUuGqFsld2qPUuZYxFdXiDh8OIF5Y9Q2ZRnm18NGVBPOGiHXfoTZF4m3RtLcH2UBE1fHQs7Kvtc-haUpOZB8QewHvcjsw157CwvABiWxTzFmc4JJv1HDME9vXrXL2a0KVBG38E8sYKVMOqg/WzFDnD9Mr37FveCFBwXjmRWtj13ce-zzs8uQ3ate8mU),14310-1_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/4iLjZT6G_RqwFAsTsZX9QA/Y7URmBYNuTOR-Z-AhZimAS05eQwFGMY1R1pF6hS2up5TH9-4VveNkKM1om2vRduWqBtQkB0248tH0-IQmPpgrvckuX2LNEOcIu1jNwDf7sV4ZDLnGVtXBUzwo_qjcUyGMLnlaP6CAD7qmgRACL-OGg/Z7FQAR62_OayOyeG5MPN1RurKJ1zebl6w6Rkyd5UUg4)",,,,,"Білий,Чорний","Білий,Чорний","L,M,XL",https://lurex.in.ua/uk/14310-zhenskue-bryuku-s-vertukalnumu-polosamu,₴247,,14310,LUREX,"Стильні жіночі штани в тонку вертикальну смужку - це універсальна річ, яка стане базою для найрізноманітніших образів, та ще й зробити твої ноги візуально стрункішими. Це однозначно, що must have для кожної модниці. У моделі низ із прямими краями, а пояс спереду застібається на блискавку з широким кільцем. Доповнюйте новинку молодіжними футболками, базовими сорочками, красивими блузами від LUREX, і ви будете готові до кожної події.
Матеріал: Костюмна тканина.
Склад: 95% поліестер, 5% еластан.
Країна: Туреччина.",Штани,Жінка,Низ,Демісезон, Костюмна тканина,Streetwear,Regular,Base,Light,None,Long,,High,Matte,Stripe,,,,,12.1.2026
"Утеплене худі на блискавці - чорний цвет, M",checked,"7316-9_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/66qnNEsBBYD8qY0aUpcJVQ/tbaFTc8nUq3mu00sQo3-u5zZcbGSnDM3xJVzq2WIKfw_svMfltJUtqL9MYRrViFzNDcECWLLcpom-SSj1qRmBS7TwJ1Ei5WPrdxB372HYcSI_kKIp-RRtpMKdizuuee94XmEl-CeZvgj4MHa7gEoHw/8d1-wEE4EdXy_3Pb3hQlTgJDDVcgV-GUifZo9U9UIfY),7316-9_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/iy7abDwr0nRrMlnWFij05g/9ZXc_9uFoPNWF95QlqvA0TrBoophCOwcTxW3ctpg-Q3bJg2aG2GmpgnNPPk3uD5misDcETMd9H_kp6bkCaOLcr2rvtfa8LAQpvwioW2eKGUMsn16QEBRHgnuVERgPghACO4bs-mB7WoMYPcelNuOXg/DREMKv3SqWBEyWApZMeP5QXmloLqcqCfEfcAclUXB_c)",Mid shot Front.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/8ptBB_U-Y64xcL-44qFChQ/Dcwt7N0jK2V2Q7TRlkVQlOsDAtPtUMmgMvaYDF3CPQ3PJNq4IsHvNCXEP0N_IQpA67nSshianuuKxI3aREyg6FUB7HyY0IbVrIsUMg4wMTTyJMwfpA2v8KtUonemv53ezzzMDEjxW27xx28oEE79y1ZYCTck3BVuqDu64mivpsA/bvymzNgxbzgJBnxpzONnSay0902AN0GfP7y4lVThlT0),Mid shot Back.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/yURjuctI5Vc1yt9XG3rmZw/KteddqSPvWbHJXPSiD27AUvtJV6mBLuQgSQXtUtGVW_ocM7udjzR0kPUFzccGzglOG_dGOi91m-Jvgy8WoqqwmjMtI636KjaOC_CP5f9mXjxl0IN6AvbYNXdtT7MZtjrzZ2fGtzZyH7BijHnuEMbbuKBrHL4cD9yQHYeI4rKhrw/ZB9o85Vb3v9gJEV68sxmmFZMaYJUI_AWtm7wqF0U6z8),Lower-body crop Front.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/qov7nU1tALyLbaGyqRsVkg/7s4RzeajU8janmZoqfzh2d2Oi_o-wNPmOYs9LnkGae57HSTQX2_UzR6ZKquyV8nDJ7lMDpQBlEQkYGcLUqttwfnhB8Sm9bL4pKi9qm_PqBKCiMHMc0jxPAeBXb3k7oxm4o8ibYJn0mpraWNcwXKjy8xckIZGeJBdMH0tLjR6iRE/M4yza_aaE_G_QwToQ2fwuryfEh33ygGMfdNpFiBmQAA),Lower-body crop Back.png (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/QbiXzVhHvHb2LvJ8rI79gA/18cPi6rZXgIxQIXLB9MXLRNRCYQwYy5MEw1buuXxzwwQfnYZW-iq0Bw3T8ito8zAkQQUDre0A4anoGOH0eLCi3PIAlFppbkeCt28zI_uslam5RIZeYkkEYAPpwDFjc3xOeQIkZHPZL6pTID57J0BVtSKyvwQPRy-xmac_stElfY/jM-A86JvnYARs8I8B58SC7EqDUsmjydUyA9hBbYWGIM),Чорний,Чорний,"L,M,S",https://lurex.in.ua/uk/7316-yteplennue-hydu-na-molnuu,₴720,,7316,LUREX,"Утеплене худі на блискавці — це поєднання комфорту, тепла й стилю в одному виробі. Модель виконана з м’якої тканини з плюшевим начісом усередині, що чудово утримує тепло та забезпечує затишок у прохолодну погоду.
Матеріал: Трикотаж 3-нитка з начосом.
Склад: 100% бавовна.
Країна: Туреччина.",Худі,Жінка,Верх,Зима,Трикотаж,Sport,Relaxed,Mid,Warm,None,Regular,Zip,,Matte,Solid,Плюшевий ритм,,,Плюшевий ритм,20.1.2026
"Однотонний світшот з плюшевим начісом - світло-сірий цвет, ONE SIZE",checked,"32911-11_1.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/yf0g-oSJ23OxoyYMjsFQgA/X7-TS0g7gDpU4UcC9e1O3mYpNu8Fjici49ngrCyiIt35fRrvms_WvNSUJ9Dcu8Tg0Oea9CGPOlL4F215wqKOEoCNc4NoucjejTSKDE3O1bPRHaoJ6nyo7XlHH08bvHwRLY6O_pcMDoiDca86ZXJHGA/hVGO5DSc5AJb7znLvA9HWko2liPEuukc3lU1YCbcxjU),32911-11_2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770076800000/DNA-_j8ER9k7-o3_4p-K2w/EA98juahaCglERiM2tMVe8vySDJXWhTl305s5yKT6oy5kebxR9_ZyO4oBCEnW9JO7DARETsExj2hZq5DZK5U2327XLByMf3b5ZHS-lpxA75N3oEsRKyNpK2Uu7bx5Qg1S1UIvvdgllJTeUfaBHZBsw/F_e9eu2zEUwj4tetAWiZwFAkB-yyVInEeIzoXSumRU0)",,,,,Сірий,Сірий,ONE SIZE,https://lurex.in.ua/uk/32911-odnotonnuj-svutshot-s-plyushevum-nachesom,₴1125,,32911,LUREX,"Жіночий однотонний світшот із плюшевим начосом — затишна базова модель, створена для комфорту та тепла. Світшот виготовлений із м’якого трикотажу з плюшевим начосом ізсередини, що приємно гріє та забезпечує відчуття комфорту навіть у прохолодну погоду. Має вільний oversize фасон з опущеними проймами, які створюють розслаблений силует.
Матеріал: Трикотаж 3-нитка з начосом.
Склад: 100% бавовна.
Країна: Китай.",Худі,Жінка,Верх,Зима,Трикотаж,Sport,Relaxed,Mid,Warm,None,Regular,Crew,,Matte,Solid,,,,,20.1.2026
